,entity,type,entity_cl
2,AAPL,ORG,AAPL
45,AI,ORG,AI
25,AMZN,ORG,AMZN
26,Alexa,ORG,Alexa
17,Alphabet Inc,ORG,Alphabet Inc
23,Amazoncom Inc,ORG,Amazoncom Inc
4,Apple,ORG,Apple
0,Apple Inc,ORG,Apple Inc
9,Apple MA,ORG,Apple MA
3,CNBC,ORG,CNBC
32,Dreamworks Animation,ORG,Dreamworks Animation
37,FB,ORG,FB
35,Facebook Inc,ORG,Facebook Inc
19,GOOG,ORG,GOOG
21,GOOGL,ORG,GOOGL
44,GlobalData,ORG,GlobalData
22,Google Assistant,ORG,Google Assistant
1,NASDAQ,ORG,NASDAQ
40,NYSE,ORG,NYSE
30,NextVR,ORG,NextVR
38,Oculus,ORG,Oculus
42,PlayStation VR,ORG,PlayStation VR
41,SONY,ORG,SONY
39,Sony Group Corporation,ORG,Sony Group Corporation
31,Spaces,ORG,Spaces
10,TimCook,ORG,TimCook
34,VR,ORG,VR
8,AAPL,ORG,AAPL
16,Apple,ORG,Apple
6,Apple Inc,ORG,Apple Inc
2,BRKA,ORG,BRKA
4,BRKB,ORG,BRKB
15,Berkshire,ORG,Berkshire
25,Berkshire Hathaway,ORG,Berkshire Hathaway
0,Berkshire Hathaway Inc,ORG,Berkshire Hathaway Inc
19,Berkshire Hathaway Posts,ORG,Berkshire Hathaway Posts
35,IBM,ORG,IBM
33,International Business Machines Corporation,ORG,International Business Machines Corporation
40,Jobs,ORG,Jobs
7,NASDAQ,ORG,NASDAQ
1,NYSE,ORG,NYSE
43,New York Times Kara Swisher,ORG,New York Times Kara Swisher
39,People magazine,ORG,People magazine
9,AAPL,ORG,AAPL
26,Apple,ORG,Apple
7,Apple Inc,ORG,Apple Inc
13,CBS,ORG,CBS
4,CBS News,ORG,CBS News
19,Foxconn,ORG,Foxconn
17,HNHPF,ORG,HNHPF
15,Hon Hai Precision Industry Co Ltd,ORG,Hon Hai Precision Industry Co Ltd
22,INTL,ORG,INTL
24,Intel,ORG,Intel
20,Intel Corporation,ORG,Intel Corporation
8,NASDAQ,ORG,NASDAQ
1,NYSE,ORG,NYSE
16,OTC,ORG,OTC
2,TSM,ORG,TSM
10,TSMC,ORG,TSMC
0,Taiwan Semiconductor Manufacturing Co Ltd,ORG,Taiwan Semiconductor Manufacturing Co Ltd
2,AAPL,ORG,AAPL
4,Apple,ORG,Apple
0,Apple Inc,ORG,Apple Inc
30,Buy,ORG,Buy
25,Goldman,ORG,Goldman
26,Morgan Stanley,ORG,Morgan Stanley
1,NASDAQ,ORG,NASDAQ
36,O’BRIEN DEIRDRE,ORG,O’BRIEN DEIRDRE
6,Sold Alibaba,ORG,Sold Alibaba
5,Tesla Stock,ORG,Tesla Stock
29,UBS,ORG,UBS
41,WILLIAMS JEFFREY E,ORG,WILLIAMS JEFFREY E
7,XPeng,ORG,XPeng
24,AAPL,ORG,AAPL
0,Apple,ORG,Apple
52,Apple Inc,ORG,Apple Inc
57,Apple TV,ORG,Apple TV
58,Apple Watch,ORG,Apple Watch
59,Beats,ORG,Beats
3,Caboose  Apple Inc,ORG,Caboose  Apple Inc
29,FMR LLC,ORG,FMR LLC
63,Federal Reserve,ORG,Federal Reserve
16,JPMorgan Chase  Co,ORG,JPMorgan Chase  Co
12,Jefferies Financial Group,ORG,Jefferies Financial Group
64,MarketBeat,ORG,MarketBeat
35,Morgan Stanley,ORG,Morgan Stanley
4,NASDAQ,ORG,NASDAQ
20,NASDAQ AAPL,ORG,NASDAQ AAPL
33,Norges Bank,ORG,Norges Bank
39,Nuveen Asset Management LLC,ORG,Nuveen Asset Management LLC
5,Oppenheimer,ORG,Oppenheimer
47,SVP Deirdre Obrien,ORG,SVP Deirdre Obrien
14,Sanford C Bernstein,ORG,Sanford C Bernstein
48,Securities  Exchange Commission,ORG,Securities  Exchange Commission
43,UBS Asset Management Americas Inc,ORG,UBS Asset Management Americas Inc
10,UBS Group,ORG,UBS Group
18,Wedbush,ORG,Wedbush
26,Zacks,ORG,Zacks
61,iPod,ORG,iPod
2,AAPL,ORG,AAPL
47,ADTV,ORG,ADTV
58,Accenture,ORG,Accenture
6,Apple,ORG,Apple
0,Apple Inc,ORG,Apple Inc
27,BYDDF,ORG,BYDDF
49,Beta,ORG,Beta
26,Byd Co,ORG,Byd Co
13,Cloudflare,ORG,Cloudflare
36,Diamondback Energy,ORG,Diamondback Energy
53,EQT,ORG,EQT
37,FANG,ORG,FANG
44,IBD,ORG,IBD
41,IBD LongTerm Leaders,ORG,IBD LongTerm Leaders
16,Idexx,ORG,Idexx
11,Idexx Labs,ORG,Idexx Labs
25,LI,ORG,LI
24,Li Auto,ORG,Li Auto
35,MOS,ORG,MOS
34,Mosaic,ORG,Mosaic
1,NASDAQ,ORG,NASDAQ
17,NET,ORG,NET
21,NIO,ORG,NIO
20,Nio,ORG,Nio
10,Nvidia,ORG,Nvidia
55,RSI,ORG,RSI
8,TSLA,ORG,TSLA
7,Tesla,ORG,Tesla
30,VWAGY,ORG,VWAGY
29,Volkswagen,ORG,Volkswagen
23,XPEV,ORG,XPEV
22,Xpeng Motors,ORG,Xpeng Motors
47,AAPL,ORG,AAPL
36,ATT,ORG,ATT
97,Airbus,ORG,Airbus
123,Apex Clearing,ORG,Apex Clearing
50,Apple,ORG,Apple
45,Apple Inc,ORG,Apple Inc
92,Ark,ORG,Ark
89,Ark Funds,ORG,Ark Funds
28,BLUW,ORG,BLUW
39,BT Group,ORG,BT Group
2,Benzinga,ORG,Benzinga
5,Betway,ORG,Betway
103,Bitcoin,ORG,Bitcoin
77,Bloomberg,ORG,Bloomberg
26,Blue Water Acquisition Corp,ORG,Blue Water Acquisition Corp
21,Brooklyn Nets,ORG,Brooklyn Nets
118,CHPT,ORG,CHPT
122,CLII,ORG,CLII
85,Calcalist,ORG,Calcalist
116,ChargePoint Holdings,ORG,ChargePoint Holdings
29,Clarus,ORG,Clarus
24,Clarus Therapeutics,ORG,Clarus Therapeutics
120,Climate Change Crisis Real Impact I Acquisition,ORG,Climate Change Crisis Real Impact I Acquisition
60,DM,ORG,DM
58,Desktop Metal,ORG,Desktop Metal
16,Digital Gaming Corporation,ORG,Digital Gaming Corporation
119,EVgo,ORG,EVgo
31,Enjoy Technology,ORG,Enjoy Technology
102,FST,ORG,FST
100,Fast Acquisition Corp,ORG,Fast Acquisition Corp
78,Forbes,ORG,Forbes
57,GLEO,ORG,GLEO
115,GM,ORG,GM
70,GMII,ORG,GMII
55,Galileo Acquisition Corp,ORG,Galileo Acquisition Corp
113,General Motors Company,ORG,General Motors Company
20,Golden State Warriors,ORG,Golden State Warriors
68,Gores Metropoulos II,ORG,Gores Metropoulos II
76,HCIC,ORG,HCIC
74,Hennessy Capital Investment Corp V,ORG,Hennessy Capital Investment Corp V
96,LAZR,ORG,LAZR
98,Landry,ORG,Landry
104,Latch,ORG,Latch
22,Los Angeles Clippers,ORG,Los Angeles Clippers
94,Luminar Technologies,ORG,Luminar Technologies
35,MRAC,ORG,MRAC
33,Marquee Raine Acquisition Corp,ORG,Marquee Raine Acquisition Corp
27,NASDAQ,ORG,NASDAQ
19,NBA Chicago Bulls,ORG,NBA Chicago Bulls
93,NFL,ORG,NFL
126,NSTB,ORG,NSTB
9,NYSE,ORG,NYSE
124,Northern Star Investment Corp II,ORG,Northern Star Investment Corp II
61,PIPE,ORG,PIPE
73,Plus,ORG,Plus
43,RCI,ORG,RCI
80,Reuters,ORG,Reuters
41,Rogers Communication,ORG,Rogers Communication
10,SEAH,ORG,SEAH
88,SKLZ,ORG,SKLZ
0,SPAC,ORG,SPAC
110,STPK,ORG,STPK
53,Shapeways,ORG,Shapeways
86,Skillz,ORG,Skillz
66,Sonder,ORG,Sonder
6,Spin,ORG,Spin
8,Sports Entertainment Acquisition Corp,ORG,Sports Entertainment Acquisition Corp
108,Star Peak Energy Transition Corp,ORG,Star Peak Energy Transition Corp
111,Stem,ORG,Stem
11,Super Group,ORG,Super Group
4,Super Group Holding,ORG,Super Group Holding
105,TS Innovation Acquisition Corp,ORG,TS Innovation Acquisition Corp
107,TSIA,ORG,TSIA
51,Target,ORG,Target
83,Tipa,ORG,Tipa
12,AAPL,ORG,AAPL
23,Apple,ORG,Apple
11,Apple Inc,ORG,Apple Inc
13,CNBC,ORG,CNBC
0,Consumer Confidence,ORG,Consumer Confidence
7,Dow Jones Industrial Average,ORG,Dow Jones Industrial Average
4,Dow Jones Transportation Average,ORG,Dow Jones Transportation Average
5,Dow Jones Utility Average,ORG,Dow Jones Utility Average
41,EMA,ORG,EMA
2,Fed,ORG,Fed
1,Federal Open Market Committee,ORG,Federal Open Market Committee
38,IWM,ORG,IWM
28,MSFT,ORG,MSFT
27,Microsoft Cor,ORG,Microsoft Cor
10,NYSE,ORG,NYSE
19,OBV,ORG,OBV
9,SPDR Gold Trust,ORG,SPDR Gold Trust
40,SPY,ORG,SPY
39,Spyder Trust,ORG,Spyder Trust
20,WMA,ORG,WMA
30,9to5Mac,ORG,9to5Mac
2,AAPL,ORG,AAPL
7,Apple,ORG,Apple
5,Berkshire,ORG,Berkshire
1,Berkshire Hathaway,ORG,Berkshire Hathaway
26,Robinhood,ORG,Robinhood
29,Yahoo,ORG,Yahoo
31,YouTube,ORG,YouTube
2,Apple,ORG,Apple
0,Benzinga,ORG,Benzinga
3,Boeing,ORG,Boeing
4,Intel,ORG,Intel
7,More  Benzinga,ORG,More  Benzinga
5,Netflix,ORG,Netflix
6,Tesla,ORG,Tesla
