,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
AAPL,1.0,0.301243975587941,0.36550079431075455,0.28783646661610207,0.36676127670980324,0.2963350807878741,0.4656533983527887,0.2822718300120544,0.34874295074396444,0.13028223980903328,0.3910571779241692,0.3339388469494922,0.3517781568337079,0.41458524947950365,0.49697488593931904,0.2298227306922594,0.3624155798292227,0.22475070722702406,0.25436472468445565,0.3286886188752005,0.21809930087228172,0.4613203335253353,0.2957558773193444,0.19730191052983773,0.2899172166616221,0.25424703160031903,0.30309471724024845,0.26180205121900296,0.2332251942018272,0.2599314552910181
AMGN,0.301243975587941,1.0,0.3353509376575699,0.30225987280456007,0.310728634714988,0.228620985469902,0.36337730897378057,0.3137347345256778,0.3303547723155854,0.12112890460861227,0.3381645571394392,0.3416962232635837,0.32508120309181704,0.3353590494927559,0.3723701820148718,0.39352100381956884,0.3302081823991181,0.2811201648246654,0.25562855536048656,0.35862083003925854,0.3822876812762674,0.3915873061541941,0.27732571732719563,0.28828982206138337,0.33395106864786794,0.31598685793734543,0.26579581596471963,0.29364937225340537,0.2938615859480178,0.3074048028213072
AXP,0.36550079431075455,0.3353509376575699,1.0,0.5081829485876415,0.5488119953693902,0.3453242129919664,0.44723393870224953,0.5107013147930748,0.5600361117666556,0.25449337614495904,0.6533995486907835,0.5199116880918689,0.547463137323288,0.47536602264771316,0.4617844587615578,0.3891546237287739,0.7104961579826876,0.38946537025928235,0.3961193836226195,0.5352525336499444,0.367262726871823,0.46931711685264715,0.4514634172843984,0.346290936727282,0.5597203618175505,0.40909237228363865,0.5118333038543331,0.41168806722919393,0.374023422101194,0.35732585596633043
BA,0.28783646661610207,0.30225987280456007,0.5081829485876415,1.0,0.4760796956216906,0.29621060791753767,0.34261806712217524,0.48429950680237643,0.46251557895688683,0.3175766067078305,0.4461377399103077,0.4219272966937496,0.5587260911438909,0.4019498252861045,0.3676273858698109,0.3523114469578142,0.4536868821195936,0.3711392782579417,0.3733371401691586,0.4710978051814554,0.3059547196327028,0.38079915409900883,0.38278156776967054,0.2987850148832455,0.4242976171727534,0.35001693919248555,0.3891605248704666,0.3050231609168806,0.35608102999359664,0.28505179721865836
CAT,0.36676127670980324,0.310728634714988,0.5488119953693902,0.4760796956216906,1.0,0.35664516625777637,0.40648904768281713,0.5333457934626687,0.4702113529757871,0.25689510122487813,0.5209123346285418,0.4594314315752924,0.594096964428749,0.4621317501927534,0.4284374200488133,0.3684466419875419,0.5286535576086527,0.3668728998913164,0.34351947685098533,0.5992070040919006,0.32705791701230935,0.4328486136168292,0.411306636365875,0.3277564406197217,0.44695499515845044,0.3568148604348167,0.4093566311625696,0.3491605509349235,0.3706911861299048,0.3365327081104371
CRM,0.2963350807878741,0.228620985469902,0.3453242129919664,0.29621060791753767,0.35664516625777637,1.0,0.30893505095581597,0.32845127176784655,0.3206191754969382,0.1334737739556852,0.3503645692745359,0.3167526629585429,0.31389763751988886,0.31336787135856636,0.30919611299132593,0.24484879762486322,0.3205651225828108,0.237399654926433,0.26757360014064047,0.3183388031622424,0.2543446698161774,0.3616980767114495,0.3135759275423992,0.22237688397509509,0.2959360990510872,0.2584970489771703,0.40279011101814755,0.2482647628442276,0.24270427268647043,0.2007354456819707
CSCO,0.4656533983527887,0.36337730897378057,0.44723393870224953,0.34261806712217524,0.40648904768281713,0.30893505095581597,1.0,0.32638045393445114,0.44852758586949787,0.14809487291141457,0.4894466800345744,0.39815179104504733,0.44657064916809824,0.531986558709776,0.6205639912604441,0.2710622165413893,0.4555650849432795,0.2590011711621006,0.30069055253771004,0.41167517132391535,0.24766920372291654,0.5679613681081355,0.35145984661249663,0.24264686438469776,0.3599920275669569,0.24385447017053197,0.31252658199745725,0.3465173918417925,0.2729070758645338,0.3163333649357141
CVX,0.2822718300120544,0.3137347345256778,0.5107013147930748,0.48429950680237643,0.5333457934626687,0.32845127176784655,0.32638045393445114,1.0,0.4563193859643447,0.30076158513551954,0.46015434368034835,0.3897134901865427,0.4974729838839193,0.4139779471490005,0.34896766022788545,0.4193649417361815,0.47070474129348217,0.40177601923578116,0.3761848205367189,0.49782800134831884,0.3921041023397716,0.40808827069232206,0.35924480425950533,0.3260410687245168,0.4801181126646919,0.41468802324411513,0.44233682484317066,0.3676000527619622,0.34224535665622524,0.26740638885699075
DIS,0.34874295074396444,0.3303547723155854,0.5600361117666556,0.46251557895688683,0.4702113529757871,0.3206191754969382,0.44852758586949787,0.4563193859643447,1.0,0.20229901219898222,0.5106939284155632,0.4729992870864662,0.5261862100065925,0.46581251330119566,0.4272951643757423,0.3597047292644577,0.5120869856397008,0.3620121960683339,0.37872769493148173,0.47816637045492927,0.33147640626636826,0.4553103809935315,0.4155828239913139,0.30797280186595766,0.4263278332677882,0.3402439645054279,0.39404501418125254,0.4037575899869421,0.33460610153140846,0.33956644953623294
DOW,0.13028223980903328,0.12112890460861227,0.25449337614495904,0.3175766067078305,0.25689510122487813,0.1334737739556852,0.14809487291141457,0.30076158513551954,0.20229901219898222,1.0,0.21686864180226298,0.17536800849338108,0.22069684104601558,0.2449211671304071,0.16492634080935342,0.16420027784935273,0.2236948761649813,0.22015255239134032,0.19590823996707746,0.25085088843984826,0.12211701903375705,0.1616014868685906,0.18189718401281896,0.1499462789815192,0.2344620511443787,0.160000103489886,0.25919988611537637,0.12241405298428708,0.2023319779171715,0.10998710577398076
GS,0.3910571779241692,0.3381645571394392,0.6533995486907835,0.4461377399103077,0.5209123346285418,0.3503645692745359,0.4894466800345744,0.46015434368034835,0.5106939284155632,0.21686864180226298,1.0,0.4931054233569022,0.5037695329024265,0.47961182186759843,0.46563528653145847,0.32245439970118384,0.7210607728876005,0.2964531289168739,0.3266987577592136,0.4838730069902415,0.3136004122541765,0.48666668005745106,0.3892286097475669,0.2658220261748974,0.5066274899880907,0.3716262271508894,0.44338356730918105,0.36164146199665814,0.3288747144653362,0.3324358251027823
