,AAPL,AMGN,AXP,CAT,CVX,GS,HD,INTC,JPM,MMM,MSFT,TRV,WMT
AAPL,1.0,0.36209419162331236,0.487432825050088,-0.23262776328684892,0.11396871714486824,0.4361142882292133,0.3873627523184711,-0.3198618085593918,0.07982937729187946,-0.2288248297192663,0.12221764817522945,-0.14089756148932553,0.46719745739719365
AMGN,0.36209419162331236,1.0,-0.35730200300150516,0.5963195499491171,0.5061450808062413,0.15572497527092333,0.9110981045409493,0.05836396836634988,-0.3632858206712036,0.5577393777295321,0.39827449575768453,0.16146144261348863,0.7067695750306353
AXP,0.487432825050088,-0.35730200300150516,1.0,-0.4442174345010137,-0.2417907706907834,0.06827417570573603,-0.1192807295857082,-0.2662994299466366,0.4938161230635619,-0.4320057779683,-0.1731067379004558,0.05897789693107879,0.2005138359702715
CAT,-0.23262776328684892,0.5963195499491171,-0.4442174345010137,1.0,0.7694071858422518,0.11053236164796108,0.6917691165517187,0.57725152607499,-0.2446895614358624,0.9172112126296071,0.6474987991315413,0.4274213228602154,0.6197541801763433
CVX,0.11396871714486824,0.5061450808062413,-0.2417907706907834,0.7694071858422518,1.0,0.5202921583617024,0.6174349988486062,0.697499894244842,0.08046452205466582,0.8227457323759559,0.9604817895063094,0.3645199737404717,0.7082422348218986
GS,0.4361142882292133,0.15572497527092333,0.06827417570573603,0.11053236164796108,0.5202921583617024,1.0,0.1333357049630355,0.10053952247796619,0.2050855206232148,-0.005621522274505262,0.47524826994141245,0.23848535680127228,0.3493068407223568
HD,0.3873627523184711,0.9110981045409493,-0.1192807295857082,0.6917691165517187,0.6174349988486062,0.1333357049630355,1.0,0.19113918187692513,-0.13381638681679212,0.6483493719323018,0.4829237628127584,0.3444195227566306,0.8630756693766659
INTC,-0.3198618085593918,0.05836396836634988,-0.2662994299466366,0.57725152607499,0.697499894244842,0.10053952247796619,0.19113918187692513,1.0,0.39172953805985106,0.7527648103609202,0.7328019237051625,0.544338211504012,0.37439429942917735
JPM,0.07982937729187946,-0.3632858206712036,0.4938161230635619,-0.2446895614358624,0.08046452205466582,0.2050855206232148,-0.13381638681679212,0.39172953805985106,1.0,-0.13123748874552907,0.09546870126988277,0.6419894994522996,0.17374447402365603
MMM,-0.2288248297192663,0.5577393777295321,-0.4320057779683,0.9172112126296071,0.8227457323759559,-0.005621522274505262,0.6483493719323018,0.7527648103609202,-0.13123748874552907,1.0,0.7876290588424093,0.3479379754519963,0.6182370110395082
MSFT,0.12221764817522945,0.39827449575768453,-0.1731067379004558,0.6474987991315413,0.9604817895063094,0.47524826994141245,0.4829237628127584,0.7328019237051625,0.09546870126988277,0.7876290588424093,1.0,0.23348862162077483,0.6444037399864273
TRV,-0.14089756148932553,0.16146144261348863,0.05897789693107879,0.4274213228602154,0.3645199737404717,0.23848535680127228,0.3444195227566306,0.544338211504012,0.6419894994522996,0.3479379754519963,0.23348862162077483,1.0,0.5236189830696524
WMT,0.46719745739719365,0.7067695750306353,0.2005138359702715,0.6197541801763433,0.7082422348218986,0.3493068407223568,0.8630756693766659,0.37439429942917735,0.17374447402365603,0.6182370110395082,0.6444037399864273,0.5236189830696524,1.0
