,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
AAPL,1.0,0.3413168116778033,0.3532414146163354,-0.01894958477910534,0.30575529784237554,0.1719819713144626,0.34430042952571466,0.3724239831356378,0.20301995464324893,0.49036769556296117,0.42223495580999854,0.5200586728951607,0.2738988762772399,0.3714629649601173,0.5445115888247042,0.36334609386873035,0.3179956842594893,0.3135805469094908,0.35578992729041836,0.3439271895262321,0.23532236367538029,0.4302434260017542,0.3087362922022083,0.24835181159926448,0.4057119598373135,0.35243067653852217,0.4792455587262976,0.07425632382963013,0.11491863067373073,0.48787087877455776
AMGN,0.3413168116778033,1.0,0.2774381297337998,-0.06812209665708664,0.15323894258428603,0.1429203303253849,0.4130929303957781,0.18764808024445026,0.11537469065519752,0.38825470282199537,0.2533583637748968,0.395858856048654,0.2639190663811645,0.42976328588517915,0.4487441337598488,0.2960165827713789,0.1125051232354926,0.15473799003555957,0.2904313837869684,0.3933207880105292,0.06433706854532768,0.4743595485155126,0.31028777400724317,0.16729591431319468,0.20521383336499965,0.4005815541611779,0.43607532990052644,-0.0462252561540704,-0.056190181045795685,0.30331528514232875
AXP,0.3532414146163354,0.2774381297337998,1.0,0.13934010884482592,0.5435513310548507,0.24203211990945217,0.2657662640103107,0.5428284731740404,0.38152925614296945,0.5746594037627732,0.6643640982650673,0.5391425478304315,0.39175061304413,0.4197500438766373,0.38739625290345836,0.5076933591621285,0.7199708148623049,0.4954651273523639,0.45043757020731134,0.4689111002572449,0.35920034006443696,0.36565020095008405,0.3198498150529052,0.39600038534729093,0.6560017720170981,0.4315161501417724,0.4409982444127161,0.19478732825871092,0.25713013576499016,0.538683591563919
BA,-0.01894958477910534,-0.06812209665708664,0.13934010884482592,1.0,0.06823615450985186,0.08698655455806834,-0.0564756667989455,0.31876399269051464,0.30887275147098603,0.2644582398953006,0.10578345256418054,0.030699478572324246,0.08339842277179123,0.0757420465364692,-0.016825607179275014,0.12920424241940878,0.1755653103720671,0.2442281292379348,0.04295965421546707,0.1421182931092652,0.09395468742186168,0.004646938415816235,0.013163278911212793,0.096033385275345,0.11509905798931834,0.005854922763638847,0.025391477663107828,0.1346501364736606,0.18407473402299815,0.10918065251262267
CAT,0.30575529784237554,0.15323894258428603,0.5435513310548507,0.06823615450985186,1.0,0.22134516691863138,0.17246151686087566,0.47667954265723156,0.30638481697370806,0.5110191290406773,0.49615026678443835,0.420890118604683,0.3271887893626986,0.2902099103141294,0.30832310200931384,0.4518208331220849,0.6026533480598565,0.4850842282925108,0.3921646899071192,0.41003070957737453,0.39251531181552207,0.23451697097878002,0.2520902439945399,0.36669633960244485,0.5708089724706781,0.32451891479803086,0.31054622337124815,0.2434119629522255,0.29286994465827815,0.4168362592880842
CRM,0.1719819713144626,0.1429203303253849,0.24203211990945217,0.08698655455806834,0.22134516691863138,1.0,0.22077900371525094,0.26117030580091977,0.22092385651179422,0.1480995499222749,0.2460284471086826,0.3006781365479598,0.2665869315493249,0.17953790058086788,0.19784129353850197,0.30664800739983156,0.33398795803163783,0.2551985464903304,0.2077778186204544,0.27732389343405056,0.1791305737829192,0.20219531644679278,0.16556579672352692,0.24589406175687728,0.2918101326028755,0.19300727978406262,0.17931740334515914,0.11715065499247203,0.18617404725442796,0.22106477216142173
CSCO,0.34430042952571466,0.4130929303957781,0.2657662640103107,-0.0564756667989455,0.17246151686087566,0.22077900371525094,1.0,0.17953689507069467,0.19621724410686311,0.41827213981849287,0.21855072560323632,0.35791939092976444,0.2562833191235569,0.41272780529603154,0.46854992620890795,0.2904874226159773,0.16882413275630154,0.1480752758609441,0.2440711019399778,0.39252774624437226,0.07397124745475223,0.5003223180115122,0.2702856221028514,0.13487062285109772,0.24128108051176866,0.36340586433118266,0.32687167682269364,-0.01880212115828425,-0.012190065439197114,0.2714763272374362
CVX,0.3724239831356378,0.18764808024445026,0.5428284731740404,0.31876399269051464,0.47667954265723156,0.26117030580091977,0.17953689507069467,1.0,0.5074117985677514,0.5682499556388542,0.5751579776818072,0.5095342531342782,0.32046269057097493,0.33759243189379984,0.3150459795543276,0.5377387715128473,0.5798492304418835,0.6056857750042175,0.4382358738320502,0.4423627907340212,0.38614321144275554,0.26423009415603604,0.32176954965814325,0.4322719257266111,0.5880005170344632,0.3029633097717591,0.3938139325355505,0.30992873218304196,0.3486860140620339,0.5806810301933788
DIS,0.20301995464324893,0.11537469065519752,0.38152925614296945,0.30887275147098603,0.30638481697370806,0.22092385651179422,0.19621724410686311,0.5074117985677514,1.0,0.4183252985361488,0.36128562547119597,0.32043818117437195,0.2208029936976908,0.23227376528440455,0.20741417392254846,0.36239622843787456,0.39374399949449074,0.3965637142993399,0.25721611766116825,0.3369733843906389,0.2571739093745975,0.19236337496091038,0.21089853834459163,0.27660982387776006,0.3823087739283998,0.2151528463077635,0.25939446845141984,0.19977947883941793,0.2574435081192283,0.3490559333377147
DOW,0.49036769556296117,0.38825470282199537,0.5746594037627732,0.2644582398953006,0.5110191290406773,0.1480995499222749,0.41827213981849287,0.5682499556388542,0.4183252985361488,1.0,0.4747690200646863,0.5115349168353776,0.5123781838628627,0.3310482599836227,0.24905080245605238,0.5294946449658586,0.517870751159518,0.5208126343568997,0.5485376958391214,0.474828719244442,0.46725145048830263,0.5759446089297483,0.46687418129582176,0.5757589252351395,0.5646698533118522,0.4006148463326997,0.511075022534194,0.5957244927707134,0.4233566430019848,0.3431616564349561
