entity,type,entity_cl
Volvo,ORG,Volvo
Walmart,ORG,Walmart
New Hanover County Sheriff Office,ORG,New Hanover County Sheriff Office
Walmart,ORG,Walmart
CTV News,ORG,CTV News
Kitchener Stanley Park Mall,ORG,Kitchener Stanley Park Mall
The Canadian Press,ORG,The Canadian Press
Walmart,ORG,Walmart
Breakfast Television,ORG,Breakfast Television
Digital Advertising Alliance,ORG,Digital Advertising Alliance
Rogers Media,ORG,Rogers Media
2K,ORG,2K
2K Streaming Stick,ORG,2K Streaming Stick
4K,ORG,4K
Android TV,ORG,Android TV
Atmos,ORG,Atmos
CNET,ORG,CNET
Disney,ORG,Disney
Dolby Atmos,ORG,Dolby Atmos
Dolby Audio,ORG,Dolby Audio
FCC,ORG,FCC
Federal Communications Commission,ORG,Federal Communications Commission
Google Assistant,ORG,Google Assistant
Google TV,ORG,Google TV
HBO Max,ORG,HBO Max
Netflix,ORG,Netflix
Onn,ORG,Onn
Roku,ORG,Roku
Tubi TV,ORG,Tubi TV
UHD,ORG,UHD
Walmart,ORG,Walmart
YouTube,ORG,YouTube
Hasbro,ORG,Hasbro
Walmart,ORG,Walmart
Bentonville,ORG,Bentonville
McMillon,ORG,McMillon
NYSE,ORG,NYSE
Securities  Exchange Act,ORG,Securities  Exchange Act
US Securities  Exchange Commission,ORG,US Securities  Exchange Commission
WMT,ORG,WMT
Walmart,ORG,Walmart
Walmart Inc,ORG,Walmart Inc
1PointFive,ORG,1PointFive
3C,ORG,3C
Baker Hughes,ORG,Baker Hughes
Blue Planet Systems,ORG,Blue Planet Systems
Chevron,ORG,Chevron
Compact Carbon Capture,ORG,Compact Carbon Capture
Energy Transition Ventures,ORG,Energy Transition Ventures
Exxon,ORG,Exxon
Exxon CO2,ORG,Exxon CO2
Exxon Mobil,ORG,Exxon Mobil
Kinder Morgan,ORG,Kinder Morgan
Low Carbon Solutions LLC,ORG,Low Carbon Solutions LLC
Occidental,ORG,Occidental
Oxy Low Carbon Ventures,ORG,Oxy Low Carbon Ventures
Reuters,ORG,Reuters
Rusheen Capital Management,ORG,Rusheen Capital Management
United Airlines,ORG,United Airlines
United Nations,ORG,United Nations
Dow Jones  Company,ORG,Dow Jones  Company
Equitiescom,ORG,Equitiescom
Equitiescom Newsdesk,ORG,Equitiescom Newsdesk
Exxon Mobil Corporation,ORG,Exxon Mobil Corporation
ExxonMobil,ORG,ExxonMobil
GE,ORG,GE
General Electric,ORG,General Electric
QuoteMedia,ORG,QuoteMedia
Wall Street Journal,ORG,Wall Street Journal
XOM,ORG,XOM
XOM Profile,ORG,XOM Profile
Andeavor,ORG,Andeavor
CalSTRS,ORG,CalSTRS
California State Teachers Retirement System,ORG,California State Teachers Retirement System
Caterpillar,ORG,Caterpillar
Exxon,ORG,Exxon
Finish,ORG,Finish
IBM,ORG,IBM
MetLife,ORG,MetLife
Neste,ORG,Neste
Petronas,ORG,Petronas
US Energy Department,ORG,US Energy Department
Vestas Wind Systems,ORG,Vestas Wind Systems
BTC,ORG,BTC
Bitcoin,ORG,Bitcoin
ETH,ORG,ETH
Ethereum,ORG,Ethereum
Exxon Mobil Corporation,ORG,Exxon Mobil Corporation
Hold,ORG,Hold
NYSE,ORG,NYSE
RSI,ORG,RSI
Sell,ORG,Sell
Underperform,ORG,Underperform
XOM,ORG,XOM
Exxon Mobil Corporation,ORG,Exxon Mobil Corporation
NYSE,ORG,NYSE
Oil  Gas Integrated,ORG,Oil  Gas Integrated
UBBEN JEFFREY W,ORG,UBBEN JEFFREY W
XOM,ORG,XOM
Affluence Market Reports,ORG,Affluence Market Reports
Axel Christiernsson,ORG,Axel Christiernsson
BP,ORG,BP
Chevron,ORG,Chevron
Exxon Mobil,ORG,Exxon Mobil
Global Aluminum Window Market,ORG,Global Aluminum Window Market
Shell,ORG,Shell
Total Lubricants,ORG,Total Lubricants
APAC,ORG,APAC
ReportsnReports,ORG,ReportsnReports
BAILLIE GIFFORD  CO,ORG,BAILLIE GIFFORD  CO
COP,ORG,COP
ConocoPhillips,ORG,ConocoPhillips
EOG,ORG,EOG
EOG Resources Inc,ORG,EOG Resources Inc
EQNR,ORG,EQNR
Equinor ASA,ORG,Equinor ASA
Exxon Mobil Corp,ORG,Exxon Mobil Corp
First Eagle Investment,ORG,First Eagle Investment
Fisher,ORG,Fisher
GuruFocus,ORG,GuruFocus
PRIMECAP Management,ORG,PRIMECAP Management
Pioneer Investments,ORG,Pioneer Investments
Portfolio,ORG,Portfolio
Renaissance Technologies,ORG,Renaissance Technologies
SP,ORG,SP
Trades,ORG,Trades
Trades Portfolio,ORG,Trades Portfolio
XOM,ORG,XOM
Yacktman Asset Management,ORG,Yacktman Asset Management
Instagram,ORG,Instagram
Reviewed,ORG,Reviewed
Twitter,ORG,Twitter
Woot,ORG,Woot
9to5Mac,ORG,9to5Mac
Amazon,ORG,Amazon
Apple,ORG,Apple
Apple Originals,ORG,Apple Originals
Apple TV Plus,ORG,Apple TV Plus
Disney,ORG,Disney
Disney Plus,ORG,Disney Plus
Hulu,ORG,Hulu
Insider,ORG,Insider
JustWatch,ORG,JustWatch
Netflix,ORG,Netflix
Worldwide Video,ORG,Worldwide Video
Apple,ORG,Apple
VR,ORG,VR
AirPods,ORG,AirPods
AirPods Max,ORG,AirPods Max
AirPods Pro,ORG,AirPods Pro
Apple,ORG,Apple
Apple Watch,ORG,Apple Watch
Apple Watch SE,ORG,Apple Watch SE
Cupertino,ORG,Cupertino
IDC,ORG,IDC
Samsung,ORG,Samsung
Wearables,ORG,Wearables
Xiaomi,ORG,Xiaomi
AirTags,ORG,AirTags
Apple,ORG,Apple
Apple Card,ORG,Apple Card
Apple Developer Center,ORG,Apple Developer Center
Apple Fitness,ORG,Apple Fitness
Apple Maps,ORG,Apple Maps
Apple Music,ORG,Apple Music
Apple News,ORG,Apple News
Apple Watch,ORG,Apple Watch
Beats,ORG,Beats
Belkin,ORG,Belkin
DualSense,ORG,DualSense
LTE,ORG,LTE
Spotify,ORG,Spotify
Waze,ORG,Waze
iOS,ORG,iOS
Amazon,ORG,Amazon
Amazon Echo,ORG,Amazon Echo
Apple,ORG,Apple
Apple Care,ORG,Apple Care
Apple Music,ORG,Apple Music
Apple Online Store,ORG,Apple Online Store
Cupertino,ORG,Cupertino
Google,ORG,Google
HomePod,ORG,HomePod
TechCrunch,ORG,TechCrunch
Apple,ORG,Apple
Apple Maps,ORG,Apple Maps
Edison Research,ORG,Edison Research
Spotify,ORG,Spotify
AirPods New Kuo,ORG,AirPods New Kuo
Apple,ORG,Apple
Apple Fitness,ORG,Apple Fitness
Apple Podcasts,ORG,Apple Podcasts
Apple TV,ORG,Apple TV
MingChi Kuo,ORG,MingChi Kuo
Patreon,ORG,Patreon
Spotify,ORG,Spotify
Sticher,ORG,Sticher
Stitcher Premium,ORG,Stitcher Premium
AMD,ORG,AMD
Apple,ORG,Apple
AppleInsider,ORG,AppleInsider
CSS,ORG,CSS
Cornell University,ORG,Cornell University
Samsung,ORG,Samsung
The 8Bit,ORG,The 8Bit
AAPL,ORG,AAPL
Apple Inc,ORG,Apple Inc
Atrion Corp,ORG,Atrion Corp
BRKA,ORG,BRKA
BTC iShares MSCI USA Value Factor ETF,ORG,BTC iShares MSCI USA Value Factor ETF
Berkshire Hathaway Inc,ORG,Berkshire Hathaway Inc
Callaway Golf Co,ORG,Callaway Golf Co
Current Portfolio,ORG,Current Portfolio
Delta Air Lines Inc,ORG,Delta Air Lines Inc
Equal Weight Technology ETF,ORG,Equal Weight Technology ETF
Financial Select Sector SPDR,ORG,Financial Select Sector SPDR
First Trust NASDAQ CEA Cybersecurity ETF,ORG,First Trust NASDAQ CEA Cybersecurity ETF
Goldman Sachs Group Inc,ORG,Goldman Sachs Group Inc
Industrial Select Sector SPDR,ORG,Industrial Select Sector SPDR
Invesco BulletShares,ORG,Invesco BulletShares
