,from,to,url,date,time
127,DIS,WMT,https://www.digitaltrends.com/home-theater/walmart-onn-2k-streaming-stick-specs-pricing-availability/,2021-03-15, 22:26:32.76739
489,CAT,IBM,https://www.marketscreener.com/quote/stock/NESTE-OYJ-1412495/news/Neste-Oyj-nbsp-Activist-investor-urges-Exxon-shareholders-to-vote-against-four-directors-32688757/,2021-03-15, 21:26:34.32924
836,AAPL,DIS,https://www.businessinsider.com/apple-tv-gets-first-oscar-nomination-for-wolfwalkers-greyhound-2021-3,2021-03-15, 22:27:35.94578
1189,AAPL,MSFT,https://www.gurufocus.com/news/1385701/laurel-wealth-advisors-llc-buys-vanguard-shortterm-inflationprotected-securities-berkshire-hathaway-inc-first-trust-nasdaq-cea-cybersecurity-etf-sells-invesco-bulletshares-2020-corporate-bond-etf-financial-select-sector-spdr-wells-fargo,2021-03-15, 21:26:37.56409
2145,DOW,MSFT,https://www.marketwatch.com/story/amazon-com-inc-stock-outperforms-competitors-despite-losses-on-the-day-01615845815-79d3224c79d7,2021-03-15, 22:26:39.15077
2147,DOW,WMT,https://www.marketwatch.com/story/amazon-com-inc-stock-outperforms-competitors-despite-losses-on-the-day-01615845815-79d3224c79d7,2021-03-15, 22:26:39.15077
2159,MSFT,WMT,https://www.marketwatch.com/story/amazon-com-inc-stock-outperforms-competitors-despite-losses-on-the-day-01615845815-79d3224c79d7,2021-03-15, 22:26:39.15077
3060,WBA,WMT,https://www.chicagotribune.com/business/ct-biz-cvs-covid-19-vaccine-illinois-stores-20210315-bzzixwhchvdunevz2aid6maini-story.html,2021-03-15, 22:26:42.80980
3477,WBA,WMT,https://finance.yahoo.com/news/karen-lynch-got-big-job-110000139.html,2021-03-15, 19:26:42.81798
5647,CVX,DOW,https://www.marketwatch.com/story/dow-flat-in-spite-of-losses-for-dow-inc-chevron-shares-2021-03-15,2021-03-15, 15:26:45.87303
5652,CVX,MSFT,https://www.marketwatch.com/story/dow-flat-in-spite-of-losses-for-dow-inc-chevron-shares-2021-03-15,2021-03-15, 15:26:45.87303
5663,DOW,MSFT,https://www.marketwatch.com/story/dow-flat-in-spite-of-losses-for-dow-inc-chevron-shares-2021-03-15,2021-03-15, 15:26:45.87303
6271,AXP,AAPL,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
6279,AXP,CVX,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
6289,AXP,VZ,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
6299,AAPL,CVX,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
6309,AAPL,VZ,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
6433,CVX,VZ,https://www.gobankingrates.com/money/business/warren-buffett-gains-1-2-billion-in-10-weeks-on-chevron-investment/,2021-03-11, 23:26:45.88650
7069,AAPL,NKE,https://www.channelnewsasia.com/news/business/ford--infiniti-in-spotlight-on-china-consumer-rights-show-14415308,2021-03-15, 18:26:46.46599
9826,MCD,WBA,https://www.thestreet.com/markets/stock-market-dow-jones-industrial-average-nasdaq-bond-yields-031521,2021-03-15, 20:26:49.75483
10245,PG,WBA,https://progressivegrocer.com/walgreens-stays-local-search-vendors,2021-03-15, 19:26:49.75878
10692,AAPL,BA,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10695,AAPL,CAT,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10705,AAPL,GS,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10711,AAPL,JPM,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10726,AAPL,WBA,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10731,BA,CAT,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10741,BA,GS,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10747,BA,JPM,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10762,BA,WBA,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
10843,CAT,GS,https://fintechzoom.com/fintech_news_stock-market/peloton-stock-stock-market-news-for-mar-15-2021/,2021-03-15, 15:26:49.76645
