,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2000-01-03,535796800.0,22914900.0,6471267.0,2638200.0,5055000.0,,53076000.0,4387600.0,8402230.0,,1822600.0,12030800.0,2203553.0,10347700.0,57710200.0,4642400.0,12019200.0,10997000.0,4520600.0,2173400.0,5978800.0,53228400.0,8014400.0,4275000.0,336400.0,3431200.0,,4663843.0,2095900.0,8369900.0
2000-01-04,512377600.0,15052600.0,10440877.0,3592100.0,6181400.0,,50805600.0,3702400.0,16051191.0,,1647700.0,8774500.0,2800908.0,8227800.0,51019600.0,7822200.0,11723400.0,7308000.0,4216500.0,2713800.0,7533100.0,54119000.0,9810400.0,4270800.0,494400.0,5997600.0,,5005878.0,1709100.0,6745100.0
2000-01-05,778321600.0,15071400.0,8646293.0,7631700.0,6398600.0,,68524000.0,5567600.0,19823822.0,,1516600.0,6931400.0,3121245.0,12733200.0,52389000.0,8229600.0,8714550.0,9457400.0,5231600.0,3699400.0,7598300.0,64059600.0,6542400.0,5098400.0,736000.0,10562400.0,,6368681.0,2167800.0,7018700.0
2000-01-06,767972800.0,11118400.0,10990975.0,4922200.0,5140600.0,,48242600.0,4353400.0,7903193.0,,1845100.0,6603400.0,2504800.0,7971900.0,55171200.0,5356400.0,8369250.0,7129200.0,4809400.0,5975800.0,4760500.0,54976600.0,4891200.0,6524200.0,660400.0,15300000.0,,4705763.0,2595400.0,6544500.0
2000-01-07,460734400.0,15953900.0,6016452.0,6008300.0,6360200.0,,62260600.0,4487400.0,6773543.0,,1127400.0,6201600.0,4136277.0,11856700.0,41096400.0,9863800.0,6571950.0,11474000.0,5124700.0,4101200.0,10373300.0,62013600.0,3993600.0,9832000.0,594700.0,16160800.0,,5043907.0,3629900.0,7976900.0
2000-01-10,505064000.0,10555300.0,4906318.0,2403500.0,3682200.0,,50583000.0,2104800.0,33965839.0,,803100.0,5453000.0,1539172.0,8540500.0,53619800.0,4928600.0,4723500.0,8723800.0,4113900.0,3863800.0,5726800.0,44963600.0,3946400.0,6862000.0,389900.0,9336000.0,,4488044.0,3296100.0,6714300.0
2000-01-11,441548800.0,14103100.0,7158460.0,2450000.0,3945600.0,,43210200.0,2791200.0,20134820.0,,808600.0,4371500.0,2770175.0,7873300.0,105481800.0,6153000.0,8405550.0,9398000.0,5440200.0,2357600.0,5023300.0,46743600.0,10976000.0,4421800.0,812900.0,9988000.0,,3694558.0,3499800.0,4943300.0
2000-01-12,976068800.0,11576800.0,5816977.0,2327800.0,3401000.0,,40757800.0,2992600.0,13100963.0,,916100.0,4599400.0,2146282.0,6803800.0,97326600.0,5163200.0,7271850.0,8389800.0,8090000.0,2868400.0,4990400.0,66532400.0,10050400.0,6231600.0,561500.0,6378400.0,,4288227.0,2062800.0,4085000.0
2000-01-13,1032684800.0,10552600.0,5831029.0,3035100.0,3129400.0,,34494400.0,3253400.0,8732387.0,,711000.0,4538900.0,1619414.0,8489700.0,76104200.0,4659200.0,6918900.0,6106000.0,5700200.0,2244400.0,5353500.0,83144000.0,5144800.0,5285200.0,589600.0,6981600.0,,3783847.0,2092100.0,5021000.0
2000-01-14,390376000.0,8971200.0,6290643.0,3834900.0,3044400.0,,43623000.0,3673000.0,8151546.0,,607000.0,4578000.0,2673675.0,10956600.0,184405200.0,5404800.0,9731850.0,7513200.0,3365400.0,2541800.0,5540200.0,73416400.0,7680800.0,4904400.0,599300.0,9292800.0,,3180616.0,2048700.0,6312200.0
2000-01-18,459177600.0,8658100.0,5867703.0,5859800.0,4054200.0,,59568600.0,4317400.0,8101774.0,,1095700.0,5322000.0,3340048.0,7643900.0,102100600.0,4870000.0,5296650.0,18350800.0,3401100.0,2114800.0,5299700.0,81483600.0,8356000.0,4456800.0,945900.0,5514400.0,,4861881.0,1563000.0,6442200.0
2000-01-19,597643200.0,12070900.0,6608706.0,11463600.0,3424600.0,,45597000.0,5027000.0,6551343.0,,636900.0,5176400.0,11968811.0,8634500.0,45568000.0,5507400.0,15734700.0,12813400.0,3344700.0,2628200.0,4761600.0,97568200.0,10299200.0,5553400.0,988100.0,7730400.0,,2962563.0,1985000.0,4819900.0
2000-01-20,1831132800.0,9460900.0,11311093.0,8941100.0,4279200.0,,41731200.0,3419800.0,7212063.0,,621800.0,7213400.0,5447206.0,17783400.0,70002000.0,4823400.0,7770300.0,11539800.0,3309700.0,3104600.0,4986300.0,56349800.0,5103200.0,10231800.0,943400.0,8457600.0,,2711262.0,2603900.0,5738100.0
2000-01-21,495924800.0,8154300.0,6310865.0,4392500.0,5000000.0,,44974600.0,3947800.0,8284136.0,,542500.0,6682900.0,5313050.0,7868700.0,55558200.0,8538000.0,5160600.0,11385800.0,3722600.0,4491800.0,7928900.0,68416200.0,10265600.0,24378800.0,1000300.0,12880800.0,,5706628.0,2091200.0,6952500.0
2000-01-24,440876800.0,9853500.0,10029933.0,3306200.0,5385600.0,,43787800.0,3536600.0,8343031.0,,712900.0,7339600.0,7284269.0,6499200.0,74832600.0,11304200.0,6459150.0,11306000.0,3593500.0,2971000.0,5189100.0,63597600.0,5733600.0,28554600.0,586500.0,9503200.0,,3908497.0,1712600.0,7799900.0
2000-01-25,497145600.0,11251900.0,10150577.0,5057200.0,6084200.0,,55379800.0,3854600.0,29911201.0,,749300.0,10252400.0,5290918.0,6936900.0,51382600.0,12956800.0,7579950.0,9718600.0,3304500.0,3691200.0,5446100.0,59823200.0,3823200.0,17097800.0,609700.0,8416000.0,,4420437.0,1878800.0,6403800.0
2000-01-26,367158400.0,16000800.0,13196847.0,3090100.0,4188200.0,,35308800.0,2681000.0,10400710.0,,1086600.0,8468400.0,5003831.0,4895100.0,49306200.0,9491400.0,8386650.0,23723800.0,16703200.0,7020800.0,5357500.0,49365000.0,12886400.0,10243200.0,503300.0,8797600.0,,4054162.0,1614400.0,4538400.0
2000-01-27,340144000.0,14797000.0,6235462.0,3339100.0,3340800.0,,47908600.0,3550800.0,9818449.0,,702000.0,6915900.0,4920443.0,8324600.0,61482000.0,12406600.0,8165850.0,17550800.0,12082200.0,2914800.0,7747200.0,63654800.0,6304000.0,8989000.0,1316500.0,9053600.0,,3125129.0,1420800.0,7323300.0
